服务器节点图可用
client.query.player.getCurrentCharacter,获取当前角色
client.query.character.getOwnerPlayer,获取角色归属的玩家实体
client.query.player.listPresent,获取在场玩家实体列表
client.query.player.getCharacter,获取指定玩家的角色实体
client.query.raycast.getResult,获取射线检测结果
client.query.getTargetEntity,获取目标实体
client.query.getEntityType,获取实体的类型
client.query.getEntityPosition,获取实体位置
client.query.getEntityRotation,获取实体旋转
client.query.getSelfEntity,获取自身实体
client.query.filterEntitiesInBox,筛选方形范围内的实体列表
client.query.filterEntitiesInSphere,筛选球体范围内的实体列表
client.query.findEntityByGuid,以GUID查询实体
client.query.getEntityCamp,查询实体阵营
client.query.campsAreHostile,查询阵营是否敌对
client.query.entityToGuid,以实体查询GUID
client.query.getInputDeviceType,获得玩家客户端输入设备类型
client.query.unitTagEntities,获取单位标签的实体列表
client.query.entityUnitTagIndexes,获取实体的单位标签列表
client.query.getLocalVariable,获取局部变量
client.query.isEntityInCombat,查询指定实体是否入战
client.query.entityHateList,获取指定实体的仇恨列表
client.query.entityHateTarget,获取指定实体的仇恨目标
client.query.getEntitiesInCollisionTrigger,获取碰撞触发器内所有实体
client.query.getRaycastResult,获取射线检测结果
client.query.scanAllValidObjects,获取扫描组件可扫描的所有合法对象
client.query.scanCurrentHit,获取扫描组件当前扫描到的实体
client.query.getEntityScanTag,获取实体当前生效的扫描标签
client.query.getEntityScanState,获取实体扫描状态
client.math.enumMatch,枚举匹配
client.math.isEqual,是否相等
client.math.typeCast,数据类型转换
client.math.vector3.split,拆分三维向量
client.math.vector3.directionToRotation,朝向转旋转
client.math.math.multiply,乘法运算
client.math.math.divide,除法运算
client.math.sin,正弦函数
client.math.cos,余弦函数
client.math.tan,正切函数
client.math.degToRad,角度转弧度
client.math.radToDeg,弧度转角度
client.math.vectorAdd,三维向量加法
client.math.vectorSubtract,三维向量减法
client.math.vectorDot,三维向量内积
client.math.vectorCross,三维向量外积
client.math.vectorNormalize,三维向量归一化
client.math.arcCos,反余弦函数
client.math.arcTan,反正切函数
client.math.arcSin,反正弦函数
client.math.directionVectorToRotation,方向向量转旋转
client.math.randomInRange,获取随机数
client.math.add,加法运算
client.math.subtract,减法运算
client.math.abs,绝对值运算
client.math.logicalNot,逻辑非运算
client.math.logicalOr,逻辑或运算
client.math.logicalXor,逻辑异或运算
client.math.logicalAnd,逻辑与运算
client.math.normalizeVector3,三维向量归一化
client.math.addVector3,三维向量加法
client.math.angleBetweenVector3,三维向量夹角
client.math.subtractVector3,三维向量减法
client.math.vector3Length,三维向量模运算
client.math.dotVector3,三维向量内积
client.math.scaleVector3,三维向量缩放
client.math.crossVector3,三维向量外积
client.math.rotateVector3,三维向量旋转
client.math.greaterThan,是否大于
client.math.greaterOrEqual,是否大于等于
client.math.lessThan,是否小于
client.math.lessOrEqual,是否小于等于
client.math.cos,余弦函数
client.math.tan,正切函数
client.math.sin,正弦函数
client.math.makeVector3,创建三维向量
client.math.assembleList,拼装列表
client.action.iterateEntities,遍历实体列表
client.action.playTimedEffect,播放限时特效
client.action.fireProjectileAtPoint,定点发射投射物
client.action.moveToPoint,定点位移
client.action.restoreHp,恢复生命值
client.action.cameraRaycastData,镜头朝向检测数据
client.action.forceExitAim,强制退出瞄准状态
client.action.setSelfAttackTarget,设置自身攻击目标
client.action.attackBoxAtPosition,特定位置打攻击盒
client.action.addUnitState,添加单位状态
client.action.notifyServerGraph,通知服务器节点图
client.action.playerTurn,玩家转向
client.action.playerTurnToDirection,玩家转向指定朝向
client.action.modifyAttackWeight,修改攻击权重
client.action.removeUnitState,移除单位状态
client.action.removeCharacterDisturbDevice,移除指定角色扰动装置
client.action.attackBoxAtSocket,指定挂接点打攻击盒
client.action.resetSkillTarget,重置技能目标
client.action.setLocalVariable,设置局部变量
client.action.breakLoop,跳出循环
client.action.loopFinite,有限循环
client.action.hate.modifyByRatio,按比例修改指定实体的仇恨值
client.action.hate.transferByRatio,按比例转移指定实体的仇恨值
client.action.hate.taunt,嘲讽目标
client.action.hate.removeTargetFromList,将目标实体移除出仇恨列表
client.action.hate.clearTargetList,清空指定实体的仇恨列表
client.action.hate.setValue,设置指定实体的仇恨值
client.action.hate.addValue,修改指定实体的仇恨值
client.action.sendSignalToServer,向服务器节点图发送信号
client.flow.branch.ifElse,双分支
